Date,Type,Link
3/19/22 18:51,LIKE,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A6910726540179714048?commentUrn=urn%3Ali%3Acomment%3A%28activity%3A6910726540179714048%2C6910970972007219200%29
3/19/22 18:50,LIKE,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A6910726540179714048?commentUrn=urn%3Ali%3Acomment%3A%28activity%3A6910726540179714048%2C6910852449964605440%29
3/19/22 18:50,LIKE,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A6910726540179714048?commentUrn=urn%3Ali%3Acomment%3A%28activity%3A6910726540179714048%2C6910999410776694784%29
3/19/22 4:39,LIKE,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A6910726540179714048?commentUrn=urn%3Ali%3Acomment%3A%28activity%3A6910726540179714048%2C6910776116345507840%29
3/19/22 4:39,LIKE,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A6910726540179714048?commentUrn=urn%3Ali%3Acomment%3A%28activity%3A6910726540179714048%2C6910803953110630400%29
3/19/22 4:38,LIKE,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A6910726540179714048?commentUrn=urn%3Ali%3Acomment%3A%28activity%3A6910726540179714048%2C6910804194568327168%29
3/19/22 3:41,LIKE,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A6910726540179714048?commentUrn=urn%3Ali%3Acomment%3A%28activity%3A6910726540179714048%2C6910765218948075520%29
3/19/22 3:40,LIKE,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A6910726540179714048?commentUrn=urn%3Ali%3Acomment%3A%28activity%3A6910726540179714048%2C6910790763572297728%29
3/19/22 1:48,LIKE,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A6910726540179714048?commentUrn=urn%3Ali%3Acomment%3A%28activity%3A6910726540179714048%2C6910749365099724800%29
3/19/22 1:48,LIKE,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A6910726540179714048?commentUrn=urn%3Ali%3Acomment%3A%28activity%3A6910726540179714048%2C6910756001428197376%29
3/19/22 1:47,LIKE,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A6910726540179714048?commentUrn=urn%3Ali%3Acomment%3A%28activity%3A6910726540179714048%2C6910754929997475840%29
3/19/22 1:47,LIKE,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A6910726540179714048?commentUrn=urn%3Ali%3Acomment%3A%28activity%3A6910726540179714048%2C6910756335223468032%29
3/19/22 1:47,LIKE,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A6910726540179714048?commentUrn=urn%3Ali%3Acomment%3A%28activity%3A6910726540179714048%2C6910747031653253120%29
3/19/22 0:14,LIKE,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A6910726540179714048?commentUrn=urn%3Ali%3Acomment%3A%28activity%3A6910726540179714048%2C6910739940611891200%29
3/19/22 0:03,LIKE,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A6910726540179714048?commentUrn=urn%3Ali%3Acomment%3A%28activity%3A6910726540179714048%2C6910733084581576704%29
3/19/22 0:03,LIKE,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A6910726540179714048?commentUrn=urn%3Ali%3Acomment%3A%28activity%3A6910726540179714048%2C6910727056347570176%29
3/19/22 0:02,LIKE,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A6910726540179714048?commentUrn=urn%3Ali%3Acomment%3A%28activity%3A6910726540179714048%2C6910736198944591874%29
3/19/22 0:02,LIKE,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A6910726540179714048?commentUrn=urn%3Ali%3Acomment%3A%28activity%3A6910726540179714048%2C6910733843943567360%29
3/19/22 0:02,LIKE,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A6910726540179714048?commentUrn=urn%3Ali%3Acomment%3A%28activity%3A6910726540179714048%2C6910735010719240192%29
3/18/22 23:21,LIKE,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A6910682620662022144
3/7/22 23:23,LIKE,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A6906621005024899072
3/7/22 15:47,LIKE,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A6906515026480365569
3/4/22 1:24,LIKE,https://www.linkedin.com/feed/update/urn%3Ali%3AugcPost%3A6905320767689764864
2/9/22 3:50,LIKE,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A6896804908142538752
1/23/22 17:50,LIKE,https://www.linkedin.com/feed/update/urn%3Ali%3AugcPost%3A6891057756296884224
1/18/22 22:56,LIKE,https://www.linkedin.com/feed/update/urn%3Ali%3AugcPost%3A6889280937671045120
1/18/22 15:10,LIKE,https://www.linkedin.com/feed/update/urn%3Ali%3AugcPost%3A6889063671520088064
1/14/22 19:39,LIKE,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A6886872761667600384
1/14/22 1:40,LIKE,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A6887049136340811776
1/11/22 22:50,LIKE,https://www.linkedin.com/feed/update/urn%3Ali%3AugcPost%3A6886769784503975936
1/10/22 22:11,LIKE,https://www.linkedin.com/feed/update/urn%3Ali%3AugcPost%3A6886322062042923008
1/10/22 22:10,LIKE,https://www.linkedin.com/feed/update/urn%3Ali%3AugcPost%3A6886361480103518208
1/8/22 16:39,LIKE,https://www.linkedin.com/feed/update/urn%3Ali%3AugcPost%3A6885079792916430848
1/4/22 21:01,LIKE,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A6884174401101692930
1/3/22 19:50,LIKE,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A6883828082625531905
10/10/21 4:18,PRAISE,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A6852139550995705857
10/6/21 1:09,LIKE,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A6851257466798252032
10/5/21 21:58,LIKE,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A6816453792804958208
10/2/21 6:44,LIKE,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A6849160255083954176
9/18/21 18:52,LIKE,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A6843972026223407104
9/9/21 4:32,LIKE,https://www.linkedin.com/feed/update/urn%3Ali%3AugcPost%3A6838549838494359552
9/7/21 22:26,PRAISE,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A6839675836359172096
7/2/21 17:24,LIKE,https://www.linkedin.com/feed/update/urn%3Ali%3AugcPost%3A6816750233888935936
6/19/21 6:25,LIKE,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A6811707225082515456
6/19/21 6:25,LIKE,https://www.linkedin.com/feed/update/urn%3Ali%3AugcPost%3A6609840088195137536
6/19/21 6:25,LIKE,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A6811236064737468416
6/11/21 10:05,LIKE,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A6808972811000926208
6/7/21 6:02,LIKE,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A6807543100202897408
6/6/21 2:41,LIKE,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A6805908962404294656
6/5/21 12:55,LIKE,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A6806604596635693056
6/4/21 5:07,LIKE,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A6806140414681239552?commentUrn=urn%3Ali%3Acomment%3A%28activity%3A6806140414681239552%2C6806226618768531457%29
5/31/21 10:59,LIKE,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A6804970412825440256
5/26/21 8:19,LIKE,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A6799502738544828416
5/25/21 14:32,LIKE,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A6800030695650656256
5/13/21 5:40,LIKE,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A6798257832018907136
5/11/21 8:50,LIKE,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A6797799624770936832
5/9/21 9:57,LIKE,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A6797014356904308736
5/6/21 7:46,LIKE,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A6795961461521948672
5/2/21 12:55,LIKE,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A6769973821370847232
4/30/21 18:16,LIKE,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A6792771390618517504
4/6/21 14:09,LIKE,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A6785188728445956096
3/30/21 6:29,LIKE,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A6775029652491640832
3/29/21 9:02,EMPATHY,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A6781117561322000384
3/24/21 6:55,EMPATHY,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A6780366623011287040
